Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,RAW0000074,New Yorkshire Baked Cheesecake,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,6,NOS,166.84,1001.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,RAW0000104,Rocky Road & Pecan Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,NOS,105.67,105.67,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,RAW0000127,Farm Fresh Lettuce Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,0.2,KG,526.35,105.27,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,97,Hot Latte Signature-reg,Hot Brews,Hot Beverages,Customer Recovery,1,POR,2.18,2.18,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,RAW0000090,Pecan & Date Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Sampling to Guest,1,NOS,103.92,103.92,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,0.054,KG,806.67,43.56,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-6-2025,27,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,0.036,KG,838.33,30.18,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,29-6-2025,26,172,Cheesy Meatball Melt,Hand Made Sandwiches,Main Course,Food Passed Shelf-Life,1,POR,138.65,138.65,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,29-6-2025,26,86,Island Pour Over,Alternative Brews,Hot Beverages,Customer Recovery,1,POR,315.66,315.66,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,29-6-2025,26,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,0.36,KG,838.25,301.77,,
