Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000074,New Yorkshire Baked Cheesecake,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,8,PCS,166.84,1334.72,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000104,Rocky Road & Pecan Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,2,PCS,105.67,211.34,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000094,Oats And Honey Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,5,PCS,48.03,240.13,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,4,PCS,28.24,112.95,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000079,Grilled Chicken,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,0.3,KG,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000078,Chipotle Chicken,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,216,GM,0.87,188.59,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000072,Herb Roasted Chicken Toastie,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,6,PCS,86.48,518.89,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000076,Roasted Turkey Tomato & Cheese Croissant,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,3,PCS,191.31,573.94,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000119,Blanched Broccoli Floret,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,67,GM,0.48,31.93,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000118,Grated Parmesan Cheese,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,90,GM,3.53,318.1,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,30-7-2025,58,RAW0000138,Mac & Cheese Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,440,GM,0.35,155.48,,
