Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,1-11-2025,168,RAW0000076,Roasted Turkey Tomato & Cheese Croissant,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Customer Recovery,2,PCS,191.59,383.17,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,1-11-2025,168,RAW0000158,Potato Shot (Frozen),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Sampling to Guest,300,GM,0.34,102.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,1-11-2025,168,RAW0000141,Potato Chips,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Wastage,45,GM,0.77,34.65,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,1-11-2025,168,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,1-11-2025,168,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.84,30.18,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,1-11-2025,168,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,2500,GM,0.07,186.08,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-10-2025,167,RAW0000141,Potato Chips,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Wastage,40,GM,0.77,30.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-10-2025,167,RAW0000112,Basil Pesto Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,90,GM,0.73,65.35,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-10-2025,167,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-10-2025,167,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.84,30.18,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000045,Sauce - Chocolate,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,Research & Development,250,GM,0.14,35.74,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,Research & Development,260,GM,0.93,240.84,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,4500,GM,0.07,334.94,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,Research & Development,6,GM,6.62,39.71,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Research & Development,162,GM,0.81,130.69,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Research & Development,144,GM,0.84,120.71,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000152,Korean Chicken Bun,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,100.24,100.24,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,29-10-2025,166,RAW0000072,Herb Roasted Chicken Toastie,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,86.48,86.48,,
