Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,18,GM,0.84,15.09,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,18,GM,0.81,14.52,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000036,Iced Tea Powder - Classic Lemon,RM BEVERAGES - POWDERS,RAW MATERIAL,Beverage Product Passed Shelf-Life,1890,GM,0.43,818.48,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000035,Iced Tea Powder - Green Apple,RM BEVERAGES - POWDERS,RAW MATERIAL,Beverage Product Passed Shelf-Life,2150,GM,0.45,958.99,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000022,Protein Powder - Caramel,RM BEVERAGES - POWDERS,RAW MATERIAL,Beverage Product Passed Shelf-Life,2471,GM,1.73,4286.2,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000033,Chocolate Powder - Strawberry,RM BEVERAGES - POWDERS,RAW MATERIAL,Beverage Product Passed Shelf-Life,2050,GM,0.78,1598.96,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000039,Refresh Tea - Mango,RM BEVERAGES - POWDERS,RAW MATERIAL,Beverage Product Passed Shelf-Life,3970,GM,0.97,3841.37,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000040,Refresh Tea - Peach,RM BEVERAGES - POWDERS,RAW MATERIAL,Beverage Product Passed Shelf-Life,2400,GM,1.01,2435.52,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RET0000064,Water Melon Zing Prebiotic 200 ML,RTD JUICES - BOTTLE/CAN,RETAIL,Beverage Product Passed Shelf-Life,30,PCS,47.99,1439.76,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000018,Milk - Skimmed,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Beverage Product Passed Shelf-Life,4670,GM,0.08,381.63,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,200,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Customer Recovery,1,PCS,139.35,139.35,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,199,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,2500,GM,0.07,182.82,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,199,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.84,30.17,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,199,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,199,RAW0000005,Beans - Ethiopian Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,3.16,113.9,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,198,9,Islander Cold Coffee1,Cold Brews,Cold Beverages,Customer Recovery,1,PCS.,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,198,180,Peperoncino Spaghetti Aglio Olio,Pasta,Main Course,Customer Recovery,1,PCS.,130.69,130.69,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,30-11-2025,198,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Customer Recovery,1,PCS,171.79,171.79,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000155,Korean Bun Filled,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,89.67,89.67,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000098,Sea Salt Caramel Brookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,67.76,67.76,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000104,Rocky Road & Pecan Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,105.68,105.68,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000107,Parsley Chopped,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,35,GM,0.46,16.11,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000118,Grated Parmesan Cheese,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,10,GM,3.53,35.34,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000126,Aop Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,15,GM,0.65,9.7,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000113,Broccomole,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,60,GM,0.47,28.23,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000115,Sour Cream,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,170,GM,0.34,57.31,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000112,Basil Pesto Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,80,GM,0.73,58.09,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000119,Blanched Broccoli Floret,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,80,GM,0.48,38.12,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000138,Mac & Cheese Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,100,GM,0.35,35.34,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000137,Blanched Marconi Pasta,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,100,GM,0.36,35.64,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,171.79,171.79,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000095,Smoked Cottage Cheese Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,1,PCS,119.21,119.21,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000151,Basil and Oven Dried Tomato Pinwheel,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,3,PCS,48.91,146.73,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,2,PCS,31.06,62.11,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000086,Garlic Mushroom & Caramelized Onion Melt,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,2,PCS,115.15,230.29,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,1800,GM,0.07,131.63,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,18,GM,0.81,14.52,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,28-11-2025,197,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,18,GM,0.84,15.09,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,27-11-2025,196,RAW0000014,Milk - Regular,RM BEVERAGES - MILK PRODUCTS,RAW MATERIAL,Food Wastage,1800,GM,0.07,131.63,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,27-11-2025,196,RAW0000006,Beans - Kenya Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,3.64,130.91,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,27-11-2025,196,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,36,GM,0.81,29.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,27-11-2025,196,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,Machine Calibration,18,GM,0.84,15.09,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Neeraj Singh,27-11-2025,195,RAW0000143,Mustard Sauce 8 Grm,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,Food Passed Shelf-Life,70,PCS,1.26,88.35,,
