Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000120,Aop Spice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,50,GM,0.83,41.49,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000084,Butter Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,NOS,0,0,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000085,Meatball Melts,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,NOS,125.77,503.06,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000086,Garlic Mushroom & Caramelized Onion Melt,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,NOS,116.63,466.52,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000087,Peri Peri Cheese Chilli Toastie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,NOS,76.98,461.9,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000088,Nolen Gur Banoffee Jar,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,NOS,78.53,78.53,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000089,Arabica Cold Brew Tiramisu,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,NOS,172.93,345.86,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000090,Pecan & Date Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,NOS,0,0,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000091,Oven Roasted Tomato Basil & Bocconcini Cheese Pide Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,NOS,0,0,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000092,Sriracha Chicken & Avocado Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,NOS,139.9,419.7,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000093,Korean Chilli Garlic Mushroom Puff Base,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,NOS,39.93,239.59,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000094,Oats And Honey Muffin,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,NOS,48.03,144.08,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000095,Smoked Cottage Cheese Wrap,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,NOS,119.42,238.83,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000097,Double Chocolate Chunk Cookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,NOS,65.41,130.82,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000098,Sea Salt Caramel Brookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,4,NOS,76.7,306.8,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000099,Mushroom & Scrambled Egg White Broccomole Bagel,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,NOS,122.13,244.26,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,3,NOS,170.07,510.22,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Aashiq Ahmed,31-5-2025,30,RAW0000101,Jaggery Cinnamon Tea Cake,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0,NOS,0,0,,
