Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,UNI0000002,Men'S T Shirt - Ci Logo - Red Small,SUMMER GARMENTS,UNIFORM,-,14,PCS,343.35,4806.9,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,UNI0000001,Men'S T Shirt - Ci Logo - White Small,SUMMER GARMENTS,UNIFORM,-,14,PCS,343.35,4806.9,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,UNI0000003,Men'S T Shirt - Ci Logo - Blue Small,SUMMER GARMENTS,UNIFORM,-,13,PCS,343.35,4463.55,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,STC0000034,White Board,STATIONARY,STORE CONSUMABLES,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,STC0000001,Potted Plants,DECOR - LIVE PLANTS,STORE CONSUMABLES,-,9,PCS,1335.56,12020.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,SAN0000038,Dustbin Green (70 Litres.),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,SAN0000036,Di Churn Brush Hard Short Green 2 Pc W1,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,1,PCS,1982.4,1982.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,SAN0000035,Broom And Dust Pan,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,1,PCS,501.5,501.5,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000025,Spanish Bombon Glass 04 oz,GLASSWARE,CROCKERY & CUTLERY,-,6,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000024,Mexicana Coupe Glass - Set Of 6,GLASSWARE,CROCKERY & CUTLERY,-,18,PCS,166.5,2997,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000020,Crystal Tall Flow Geo Glass - Set Of 6,GLASSWARE,CROCKERY & CUTLERY,-,33,PCS,168.47,5559.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000019,Striped Tall Glass - Set Of 6,GLASSWARE,CROCKERY & CUTLERY,-,36,PCS,400,14399.94,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000018,Demitasse Spoon,CUTLERY,CROCKERY & CUTLERY,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000017,Tea Spoon,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,29.5,1416,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000016,Dinner Fork,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,45.73,2194.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000015,Dinner Spoon,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,45.73,2194.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000014,Dinner Knife,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,80.15,3846.99,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000010,Dip Bowl,CROCKERY,CROCKERY & CUTLERY,-,12,PCS,131.04,1572.48,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000009,Cup And Saucer Set - 12Oz,CROCKERY,CROCKERY & CUTLERY,-,23,PCS,349.44,8037.12,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000008,Cup And Saucer Set - 08Oz,CROCKERY,CROCKERY & CUTLERY,-,46,PCS,333.76,15352.96,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000007,Dinner Plate,CROCKERY,CROCKERY & CUTLERY,-,48,PCS,311.36,14945.28,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000006,Cup And Saucer Set - 04Oz,CROCKERY,CROCKERY & CUTLERY,-,44,PCS,285.6,12566.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000005,Pasta Bowl,CROCKERY,CROCKERY & CUTLERY,-,23,PCS,364,8372,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CNC0000004,Salad Plate,CROCKERY,CROCKERY & CUTLERY,-,46,PCS,205.09,9434.34,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000285,Boba Stainer,SMALLWARE,CAPEX,-,1,PCS,78.4,78.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000222,Storage Jar - Milk,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000219,Ice Bucket,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000207,Cambro Trays (Rectangular),SMALLWARE,CAPEX,-,24,PCS,236,5664,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000206,Salver (Round - 14),SMALLWARE,CAPEX,-,1,PCS,218.3,218.3,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000198,Pvc Condiment Organiser 11 Compartment,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000111,Bar Spoon,SMALLWARE,CAPEX,-,1,PCS,47.2,47.2,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000110,Strainer Bar Strainer,SMALLWARE,CAPEX,-,1,PCS,88.5,88.5,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000107,Cinnamon Sprinkler,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000106,Whipped Cream Dispenser 500 Ml,SMALLWARE,CAPEX,-,2,PCS,4720,9440,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000105,Whipped Cream Dispenser 1000 Ml,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000102,Hario V60-02 Ceramic Dripper White,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000134,Creamer For Tea,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000133,Boston Shaker,SMALLWARE,CAPEX,-,1,PCS,336,336,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000132,Jug,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000131,Thermometer,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000130,Tong,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000129,Spatula 8*4,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000015,Plastic Transparent Bowl,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,150,PCS,8.74,1311.57,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000014,Disposable - Paper Cup 16Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,450,PCS,7.02,3159.45,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000013,Disposable - Paper Cup 12Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,720,PCS,5.86,4222.51,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000012,Disposable - Paper Cup 08Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,504,PCS,5.55,2795.18,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000011,Disposable - Sealing Foil,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,DISPOSABLE TAKE AWAY PACKAGING,-,40,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,-,202,GM,5.15,1039.29,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000043,Coffee Powder - Coffeeccino,RM BEVERAGES - POWDERS,RAW MATERIAL,-,11000,GM,0.93,10254.2,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000040,Refresh Tea - Peach,RM BEVERAGES - POWDERS,RAW MATERIAL,-,5700,GM,1.01,5784.36,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000039,Refresh Tea - Mango,RM BEVERAGES - POWDERS,RAW MATERIAL,-,6290,GM,0.97,6086.2,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000036,Iced Tea Powder - Classic Lemon,RM BEVERAGES - POWDERS,RAW MATERIAL,-,0,GM,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000035,Iced Tea Powder - Green Apple,RM BEVERAGES - POWDERS,RAW MATERIAL,-,1590,GM,0.45,709.2,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000034,Chocolate Powder - 0% Sugar,RM BEVERAGES - POWDERS,RAW MATERIAL,-,5450,GM,1.23,6681.81,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000033,Chocolate Powder - Strawberry,RM BEVERAGES - POWDERS,RAW MATERIAL,-,3200,GM,0.78,2495.94,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000031,Chocolate Powder - Hazelnut,RM BEVERAGES - POWDERS,RAW MATERIAL,-,7229,GM,0.95,6866.83,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000029,Milkshake Powder - Strawberry,RM BEVERAGES - POWDERS,RAW MATERIAL,-,1749,GM,0.47,825.53,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000028,Milkshake Powder - Chocolate,RM BEVERAGES - POWDERS,RAW MATERIAL,-,7490,GM,0.57,4295.37,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,-,13608,GM,0.93,12605.09,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000024,Protein Powder - Cookie & Cream,RM BEVERAGES - POWDERS,RAW MATERIAL,-,1576,GM,1.71,2696.54,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000023,Protein Powder - Espresso,RM BEVERAGES - POWDERS,RAW MATERIAL,-,2953,GM,1.71,5052.58,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000022,Protein Powder - Caramel,RM BEVERAGES - POWDERS,RAW MATERIAL,-,2856,GM,1.73,4954.02,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000009,Disposable - Cup Holder,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,DISPOSABLE TAKE AWAY PACKAGING,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000008,Yellow Carry Bag Large - Ci,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,-,260,PCS,12.04,3129.36,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000007,Yellow Carry Bag Medium - Ci,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,-,556,PCS,10.16,5648.85,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000006,Yellow Carry Bag Small - Ci,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,-,541,PCS,8.85,4787.85,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000004,Disposable - Wooden Spoon,DISPOSABLE CUTLERY - WOODEN SPOON,DISPOSABLE TAKE AWAY PACKAGING,-,556,PCS,0.73,404.77,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PKG0000002,Disposable - Wooden Fork,DISPOSABLE CUTLERY - WOODEN FORK,DISPOSABLE TAKE AWAY PACKAGING,-,210,PCS,0.73,152.88,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000089,Manual Pour Over Aeropress Coffee And Espresso Maker: 85R11,BOH BEVERAGE EQUIPMENT,CAPEX,-,1,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,CAP0000033,Chemex Manual Pour Over Classic Coffeemaker 3 Cup :Cm-1C,BOH BEVERAGE EQUIPMENT,CAPEX,-,1,PCS,4032.06,4032.06,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000065,Chilli Flakes - Sachet,RM FOOD - CONDIMENTS,RAW MATERIAL,-,840,PCS,0.57,477.93,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000064,Oregano,RM FOOD - CONDIMENTS,RAW MATERIAL,-,850,PCS,0.56,472.19,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,RAW0000063,Ketchup,RM FOOD - CONDIMENTS,RAW MATERIAL,-,350,PCS,0.84,294,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PPD0000030,Standup Global Blend Kenya - Empty Pouch 75 Gms,POUCHES/SACHETS,PACKAGING FOR PRODUCT DEVELOPMENT,-,48,PCS,29.97,1438.66,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PPD0000029,Standup Global Blend Ethiopia - Empty Pouch 75 Gms,POUCHES/SACHETS,PACKAGING FOR PRODUCT DEVELOPMENT,-,45,PCS,29.97,1348.74,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PPD0000028,Standup Single Estate Ethiopia - Empty Pouch 75 Gms,POUCHES/SACHETS,PACKAGING FOR PRODUCT DEVELOPMENT,-,51,PCS,29.97,1528.57,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PPD0000027,Standup Volcano Blend - Empty Pouch 75 Gms,POUCHES/SACHETS,PACKAGING FOR PRODUCT DEVELOPMENT,-,35,PCS,29.97,1049.02,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,PPD0000026,Standup Single Estate Kenya - Empty Pouch 75 Gms,POUCHES/SACHETS,PACKAGING FOR PRODUCT DEVELOPMENT,-,47,PCS,29.97,1408.68,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,KIA0000003,Hario V 60 Bleached Filter Paper-Size 02- 100Pcs : VCF-02-100W,COOKING ACCESSORIES,KITCHEN ACCESSORIES,-,174,PCS,3.68,640.22,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Deepanshu Kahrana,31-7-2025,51,TKT-145361,Cream Charger,COOKING ACCESSORIES,KITCHEN ACCESSORIES,-,150,PCS,0,0,,
