Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000031,CI Branded Hand Cut 12OZ Glass,GLASSWARE,CROCKERY & CUTLERY,-,19,PCS,276.12,5246.28,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000032,CI Branded Hand Cut 16OZ Glass,GLASSWARE,CROCKERY & CUTLERY,-,18,PCS,292.64,5267.52,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000025,Spanish Bombon Glass 04 oz,GLASSWARE,CROCKERY & CUTLERY,-,6,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000024,Mexicana Coupe Glass - Set Of 6,GLASSWARE,CROCKERY & CUTLERY,-,18,PCS,166.5,2997,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000020,Crystal Tall Flow Geo Glass - Set Of 6,GLASSWARE,CROCKERY & CUTLERY,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000019,Striped Tall Glass - Set Of 6,GLASSWARE,CROCKERY & CUTLERY,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000033,Men'S T Shirt - Ci Logo - Blue Large,SUMMER GARMENTS,UNIFORM,-,8,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000032,Men'S T Shirt - Ci Logo - Blue Medium,SUMMER GARMENTS,UNIFORM,-,3,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000027,Men'S T Shirt - Ci Logo - White XXL,SUMMER GARMENTS,UNIFORM,-,4,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000035,Men'S T Shirt - Ci Logo - Blue XXL,SUMMER GARMENTS,UNIFORM,-,5,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000034,Men'S T Shirt - Ci Logo - Blue XL,SUMMER GARMENTS,UNIFORM,-,1,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000031,Men'S T Shirt - Ci Logo - Red XXL,SUMMER GARMENTS,UNIFORM,-,6,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000028,Men'S T Shirt - Ci Logo - Red Medium,SUMMER GARMENTS,UNIFORM,-,7,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000029,Men'S T Shirt - Ci Logo - Red Large,SUMMER GARMENTS,UNIFORM,-,4,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000025,Men'S T Shirt - Ci Logo - White Large,SUMMER GARMENTS,UNIFORM,-,5,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000024,Men'S T Shirt - Ci Logo - White Medium,SUMMER GARMENTS,UNIFORM,-,5,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000026,Men'S T Shirt - Ci Logo - White XL,SUMMER GARMENTS,UNIFORM,-,4,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000030,Men'S T Shirt - Ci Logo - Red XL,SUMMER GARMENTS,UNIFORM,-,7,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000002,Men'S T Shirt - Ci Logo - Red Small,SUMMER GARMENTS,UNIFORM,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000001,Men'S T Shirt - Ci Logo - White Small,SUMMER GARMENTS,UNIFORM,-,4,PCS,343.35,1373.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,UNI0000003,Men'S T Shirt - Ci Logo - Blue Small,SUMMER GARMENTS,UNIFORM,-,5,PCS,343.35,1716.75,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,STC0000034,White Board,STATIONARY,STORE CONSUMABLES,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,STC0000001,Potted Plants,DECOR - LIVE PLANTS,STORE CONSUMABLES,-,9,PCS,1335.56,12020.04,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,SAN0000038,Dustbin Green (70 Ltrs.) (with paddle & flat lid),CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,SAN0000036,DI Churn Brush Hard Short Green PC W1,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,1,PCS,1982.4,1982.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,SAN0000035,Broom And Dust Pan,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,SANITATION HOUSEKEEPING & CLEANING SUPPLIES,-,2,PCS,501.5,1003,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000018,Demitasse Spoon,CUTLERY,CROCKERY & CUTLERY,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000017,Tea Spoon,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,29.5,1416,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000016,Dinner Fork,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,45.73,2194.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000015,Dinner Spoon,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,45.73,2194.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000014,Dinner Knife,CUTLERY,CROCKERY & CUTLERY,-,48,PCS,80.15,3846.99,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000010,Dip Bowl,CROCKERY,CROCKERY & CUTLERY,-,12,PCS,131.04,1572.48,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000009,Cup And Saucer Set - 12Oz,CROCKERY,CROCKERY & CUTLERY,-,22,PCS,349.44,7687.68,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000008,Cup And Saucer Set - 08Oz,CROCKERY,CROCKERY & CUTLERY,-,45,PCS,333.76,15019.2,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000007,Dinner Plate,CROCKERY,CROCKERY & CUTLERY,-,48,PCS,311.36,14945.28,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000006,Cup And Saucer Set - 04Oz,CROCKERY,CROCKERY & CUTLERY,-,43,PCS,285.6,12280.8,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000005,Pasta Bowl,CROCKERY,CROCKERY & CUTLERY,-,23,PCS,364,8372,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CNC0000004,Salad Plate,CROCKERY,CROCKERY & CUTLERY,-,46,PCS,205.09,9434.34,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CAP0000285,Boba Stainer,SMALLWARE,CAPEX,-,1,PCS,78.4,78.4,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CAP0000222,Storage Jar - Milk,SMALLWARE,CAPEX,-,0,PCS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Ansh Kumar,31-8-2025,81,CAP0000219,Ice Bucket,SMALLWARE,CAPEX,-,1,PCS,0,0,,
