Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name,Super Category Name,Comment ,Quantity ,Unit ,Unit Price ,Amount,Source  
Warehouse NCR,Central Store,Ashutosh Kumar,12-2-2026,WS-15,-,Polo T-Shirt With Gimme Mo Logo (Size - XL),UNIFORM - SHIRT/T SHIRT,UNIFORM,RM Not Uses for Gimme Mo,30,PCS..,410,12300,,
Warehouse NCR,Central Store,Ashutosh Kumar,12-2-2026,WS-15,-,Polo T-Shirt With Gimme Mo Logo (Size - S),UNIFORM - SHIRT/T SHIRT,UNIFORM,RM Not Uses for Gimme Mo,25,PCS..,410,10250,,
Warehouse NCR,Central Store,Ashutosh Kumar,12-2-2026,WS-15,-,Polo T-Shirt With Gimme Mo Logo (Size - M),UNIFORM - SHIRT/T SHIRT,UNIFORM,RM Not Uses for Gimme Mo,42,PCS..,410,17220,,
Warehouse NCR,Central Store,Ashutosh Kumar,12-2-2026,WS-15,-,Polo T-Shirt With Gimme Mo Logo (Size - L),UNIFORM - SHIRT/T SHIRT,UNIFORM,RM Not Uses for Gimme Mo,45,PCS..,410,18450,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Single Line Register - A4,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,2,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,STC0000008,Ring File,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,4,PCS..,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Customised Rubber Stamp - Receiving Details,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Customised Rubber Stamp - Outlet Address Details,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Checklist wastage Log Book - 100 Pages Spiral Bound,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Checklist Opening Closing - 100 Pages Spiral Bound,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Checklist Invetory Book - 100 Pages Spiral Bound,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,Checklist Attendace Register - 100 Pages Spiral Bound,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,A4 Frame,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,A4 Colour Printout,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,50,PCS..,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,A3 Poster & Lamination,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,1,PCS..,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-14,-,A3 Frame FSSAI,STATIONARY,STORE CONSUMABLES,RM Not Uses for Gimme Mo,3,PCS..,0,0,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,Apron With Gimme Mo Logo,UNIFORM - APRON,UNIFORM,RM Not Uses for Gimme Mo,72,PCS..,300,21600,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Wooden Chopstick,DISPOSABLE CUTLERY - WOODEN SPOON,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,2494,PCS,1.35,3366.9,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM V/NV Sticker 10/10mm,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,7633,PCS,0.12,915.96,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Snack Box With Lid - 500ml,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,1586,PCS,8.75,13877.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Sealing Sticker 100/40mm,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,3923,PCS,0.83,3256.09,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Printed Paper Carry Bag - Small W/O Dori & Eyelet,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,15858,PCS,6.16,97685.28,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Printed Paper Carry Bag - Large 230GSM,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,22794,PCS,14.5,330513,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Plastic Glass 350ml With Pink Lid,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,7685,PCS,7.3,56100.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Paper Pouch For Cutlery And Tissue with Logo,DISPOSABLE CUTLERY - CUTLERY POUCH,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,48669,PCS,0.72,35041.68,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Momo Box Tray With Silver Foiling & Dip Tray 230GSM,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,26985,PCS,10.75,290088.75,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Momo Box Sleeve - 230GSM,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,18995,PCS,7.7,146261.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Double Wall Customized Hot Cup With Lid - 200ml,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,24819,PCS,4.5,111685.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM Brown Paper Napkin with GM Logo,DISPOSABLE PACKAGING - TISSUE PAPER,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,68,PKT(100PC),39,2652,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM 1000 Ml bowl Lid,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,6433,PCS,2.75,17690.75,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,-,GM 1000 Ml Bowl,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,RM Not Uses for Gimme Mo,15511,PCS,7.5,116332.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,CNC0000028,GM Soup Bowl - Black,CROCKERY,CROCKERY & CUTLERY,RM Not Uses for Gimme Mo,117,PCS,94,10998,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,CNC0000027,GM Serving Bowl - Black,CROCKERY,CROCKERY & CUTLERY,RM Not Uses for Gimme Mo,112,PCS,270,30240,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,CNC0000026,GM Momo Serving Plate - Black,CROCKERY,CROCKERY & CUTLERY,RM Not Uses for Gimme Mo,105,PCS,350,36750,,
Warehouse NCR,Central Store,Ashutosh Kumar,8-2-2026,WS-13,CNC0000029,GM Dip Bowl - Black,CROCKERY,CROCKERY & CUTLERY,RM Not Uses for Gimme Mo,252,PCS,42,10584,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-12,RAW0000023,Protein Powder - Espresso,RM BEVERAGES - POWDERS,RAW MATERIAL,PKS Sample,1,KG,1450,1450,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,Polo T-Shirt With Gimme Mo Logo (Size - L),UNIFORM - SHIRT/T SHIRT,UNIFORM,PKS Sample,1,PCS..,410,410,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,Apron With Gimme Mo Logo,UNIFORM - APRON,UNIFORM,PKS Sample,1,PCS..,300,300,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Wooden Chopstick,DISPOSABLE CUTLERY - WOODEN SPOON,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,1.35,1.35,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Snack Box With Lid - 500ml,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,8.75,8.75,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Sealing Sticker 100/40mm,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,0.83,0.83,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Printed Paper Carry Bag - Small W/O Dori & Eyelet,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,6.16,6.16,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Printed Paper Carry Bag - Large 230GSM,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,200,PCS,14.5,2900,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Plastic Glass 350ml With Pink Lid,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,7.3,7.3,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Paper Pouch For Cutlery And Tissue with Logo,DISPOSABLE CUTLERY - CUTLERY POUCH,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,0.72,0.72,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Momo Box Tray With Silver Foiling & Dip Tray 230GSM,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,10.75,10.75,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Momo Box Sleeve - 230GSM,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,7.7,7.7,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM Double Wall Customized Hot Cup With Lid - 200ml,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,4.5,4.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM 1000 Ml bowl Lid,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,2.75,2.75,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,-,GM 1000 Ml Bowl,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,PKS Sample,1,PCS,7.5,7.5,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,CNC0000028,GM Soup Bowl - Black,CROCKERY,CROCKERY & CUTLERY,PKS Sample,1,PCS,94,94,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,CNC0000027,GM Serving Bowl - Black,CROCKERY,CROCKERY & CUTLERY,PKS Sample,1,PCS,270,270,,
Warehouse NCR,Central Store,Ashutosh Kumar,4-2-2026,WS-11,CNC0000026,GM Momo Serving Plate - Black,CROCKERY,CROCKERY & CUTLERY,PKS Sample,1,PCS,350,350,,
