Deployment Name ,Store/Kitchen Name ,User Name ,Date,Transaction Number ,Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,Unit Price ,Sub Total ,Source ,
Coffee Island GK II,Coffee Island AIPL Main Store,Rajneesh Pandey,9-5-2025,3,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,-,0,NOS,0,0,,
Coffee Island GK II,Coffee Island AIPL Kitchen Store,Rajneesh Pandey,9-5-2025,4,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,-,0,NOS,0,0,,
Coffee Island GK II,Coffee Island GK Main  Store,Rajneesh Pandey,9-5-2025,1,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,-,0,NOS,0,0,,
Coffee Island GK II,Coffee Island GK Kitchen Store,Rajneesh Pandey,9-5-2025,2,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,-,0,NOS,0,0,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000113,Broccomole,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.35,KG,470.5,164.68,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000120,Aop Spice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,0.1,KG,830,83,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000020,Disposable - Straw - 08Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,17000,PCS,0.71,12070,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000004,Disposable - Wooden Spoon,DISPOSABLE CUTLERY - WOODEN SPOON,DISPOSABLE TAKE AWAY PACKAGING,-,8750,PCS,0.73,6387.5,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000016,Disposable - Lid (Cold) 12Oz And 16Oz - Dome,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,5700,PCS,3.72,21204,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000002,Disposable - Wooden Fork,DISPOSABLE CUTLERY - WOODEN FORK,DISPOSABLE TAKE AWAY PACKAGING,-,5250,PCS,0.73,3832.5,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000021,Disposable - Straw - 12Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,4000,PCS,1.53,6120,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000047,Syrup-Hazelnut,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,3900,GM,0.61,2379,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000046,Syrup - Irish,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,3900,GM,0.61,2379,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000023,Disposable - Stirrer,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,DISPOSABLE TAKE AWAY PACKAGING,-,3800,NOS,0.15,570,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000018,Disposable - Lid (Hot) 08Oz,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,2200,PCS,3.66,8052,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000027,Disposable - Sleeve For Wrap,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,-,1864,PCS,4.51,8406.64,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000011,Disposable - Sealing Foil,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,DISPOSABLE TAKE AWAY PACKAGING,-,1500,NOS,1.18,1770,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000017,Disposable - Lid (Hot) 12Oz,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,1450,PCS,4.66,6757,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000057,Sugar - Sachet - Brown (5Gm),RM BEVERAGES - VEG INGREDIENTS,RAW MATERIAL,-,1170,NOS,0.95,1111.5,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000024,Food Wrapping Paper - Ci,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,DISPOSABLE TAKE AWAY PACKAGING,-,965,PCS,0.25,241.25,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000082,Naturesmith Salt Sachet - 1Gm (Pack Of 200),RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,910,PCS,0.37,336.7,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000006,Yellow Carry Bag Small - Ci,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,-,905,PCS,8.85,8009.25,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000012,Disposable - Paper Cup 08Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,775,PCS,5.55,4301.25,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000014,Disposable - Paper Cup 16Oz,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,775,PCS,7.02,5440.5,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,RAW0000065,Chilli Flakes - Sachet,RM FOOD - CONDIMENTS,RAW MATERIAL,-,750,NOS,0.57,427.5,,
Coffee Island HQ-27,Coffee Island HQ-27  Kitchen,Coffee island,1-5-2025,3,PKG0000029,Disposable - Paper Bowl (1000Ml),DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,-,714,PCS,8.85,6318.9,,
